CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
123,DOWRY,DOWRY-3,1,1
124,BNS,BNS-329,1,1
124,BNS,BNS-309,2,2
125,IPC,IPC-420,1,1
125,IPC,IPC-380,2,2
125,IPC,IPC-447,3,3
126,BNS,BNS-109,1,1
126,BNS,BNS-105,2,2
127,BNS,BNS-351,1,1
127,BNS,BNS-352,2,2
128,IPC,IPC-376,1,1
128,DOWRY,DOWRY-4,2,2
129,ARMS,ARMS-25,1,1
130,NDPS,NDPS-27,1,1
131,IPC,IPC-447,1,1
132,IPC,IPC-366,1,1
133,BNS,BNS-305,1,1
133,BNS,BNS-303,2,2
134,BNS,BNS-318,1,1
135,IPC,IPC-506,1,1
136,DOWRY,DOWRY-4,1,1
137,MVACT,MVACT-184,1,1
137,MVACT,MVACT-185,2,2
137,MVACT,MVACT-177,3,3
138,KPACT,KPACT-78,1,1
139,IPC,IPC-406,1,1
139,PMLA,PMLA-4,2,2
139,IPC,IPC-420,3,3
140,MVACT,MVACT-134,1,1
141,ARMS,ARMS-25,1,1
141,ARMS,ARMS-30,2,2
141,KPACT,KPACT-110,3,3
142,MVACT,MVACT-184,1,1
143,IPC,IPC-354,1,1
144,ARMS,ARMS-25,1,1
145,MVACT,MVACT-177,1,1
145,MVACT,MVACT-185,2,2
146,MVACT,MVACT-185,1,1
146,MVACT,MVACT-184,2,2
146,MVACT,MVACT-134,3,3
147,IPC,IPC-380,1,1
147,IPC,IPC-406,2,2
148,JJACT,JJACT-82,1,1
149,BNS,BNS-310,1,1
149,BNS,BNS-305,2,2
149,BNS,BNS-316,3,3
150,IPC,IPC-406,1,1
150,IPC,IPC-420,2,2
150,IPC,IPC-395,3,3
151,IPC,IPC-506,1,1
151,DOWRY,DOWRY-3,2,2
151,IPC,IPC-354,3,3
152,BNS,BNS-310,1,1
152,BNS,BNS-316,2,2
153,MVACT,MVACT-185,1,1
153,MVACT,MVACT-177,2,2
154,ARMS,ARMS-30,1,1
155,DOWRY,DOWRY-4,1,1
156,PMLA,PMLA-3,1,1
157,JJACT,JJACT-82,1,1
158,ITACT,ITACT-66D,1,1
159,IPC,IPC-304,1,1
159,IPC,IPC-323,2,2
160,MVACT,MVACT-184,1,1
161,IPC,IPC-379,1,1
161,IPC,IPC-406,2,2
162,IPC,IPC-325,1,1
162,IPC,IPC-323,2,2
162,IPC,IPC-366,3,3
163,BNS,BNS-316,1,1
163,BNS,BNS-303,2,2
164,MVACT,MVACT-185,1,1
165,ARMS,ARMS-30,1,1
166,MVACT,MVACT-134,1,1
167,BNS,BNS-115,1,1
168,BNS,BNS-352,1,1
169,IPC,IPC-447,1,1
170,BNS,BNS-115,1,1
170,BNS,BNS-117,2,2
170,BNS,BNS-109,3,3
171,IPC,IPC-395,1,1
172,IPC,IPC-498A,1,1
172,IPC,IPC-376,2,2
173,IPC,IPC-379,1,1
173,IPC,IPC-447,2,2
174,BNS,BNS-305,1,1
175,IPC,IPC-392,1,1
176,BNS,BNS-352,1,1
177,IPC,IPC-395,1,1
178,NDPS,NDPS-29,1,1
179,IPC,IPC-366,1,1
179,IPC,IPC-325,2,2
180,BNS,BNS-318,1,1
180,BNS,BNS-305,2,2
181,BNS,BNS-310,1,1
181,BNS,BNS-303,2,2
182,BNS,BNS-310,1,1
183,BNS,BNS-316,1,1
183,BNS,BNS-305,2,2
184,BNS,BNS-329,1,1
185,KPACT,KPACT-110,1,1
185,IPC,IPC-504,2,2
186,MVACT,MVACT-185,1,1
187,KPACT,KPACT-78,1,1
188,BNS,BNS-352,1,1
188,KPACT,KPACT-78,2,2
189,BNS,BNS-85,1,1
190,KPACT,KPACT-110,1,1
190,KPACT,KPACT-78,2,2
190,IPC,IPC-504,3,3
191,IPC,IPC-380,1,1
191,IPC,IPC-447,2,2
191,IPC,IPC-420,3,3
192,IPC,IPC-504,1,1
192,KPACT,KPACT-110,2,2
193,BNS,BNS-329,1,1
194,BNS,BNS-117,1,1
194,BNS,BNS-137,2,2
194,BNS,BNS-105,3,3
195,KPACT,KPACT-78,1,1
196,MVACT,MVACT-177,1,1
197,IPC,IPC-307,1,1
197,IPC,IPC-302,2,2
197,IPC,IPC-325,3,3
198,IPC,IPC-392,1,1
198,IPC,IPC-406,2,2
199,IPC,IPC-447,1,1
199,IPC,IPC-380,2,2
199,IPC,IPC-379,3,3
200,MVACT,MVACT-184,1,1
201,MVACT,MVACT-134,1,1
202,BNS,BNS-305,1,1
203,BNS,BNS-305,1,1
204,MVACT,MVACT-177,1,1
204,MVACT,MVACT-134,2,2
205,IPC,IPC-354,1,1
206,DOWRY,DOWRY-4,1,1
207,MVACT,MVACT-184,1,1
208,MVACT,MVACT-134,1,1
209,BNS,BNS-309,1,1
210,BNS,BNS-316,1,1
211,ITACT,ITACT-66,1,1
212,IPC,IPC-380,1,1
212,IPC,IPC-395,2,2
213,IPC,IPC-363,1,1
214,MVACT,MVACT-185,1,1
215,BNS,BNS-115,1,1
215,BNS,BNS-318,2,2
216,KEXACT,KEXACT-32,1,1
217,IPC,IPC-420,1,1
217,IPC,IPC-447,2,2
218,IPC,IPC-325,1,1
218,IPC,IPC-366,2,2
218,IPC,IPC-304,3,3
219,MVACT,MVACT-177,1,1
220,IPC,IPC-498A,1,1
220,DOWRY,DOWRY-4,2,2
221,KPACT,KPACT-78,1,1
221,KPACT,KPACT-110,2,2
221,KEXACT,KEXACT-34,3,3
222,BNS,BNS-351,1,1
222,BNS,BNS-64,2,2
223,NDPS,NDPS-27,1,1
223,NDPS,NDPS-21,2,2
223,NDPS,NDPS-22,3,3
224,NDPS,NDPS-22,1,1
224,NDPS,NDPS-20,2,2
225,MVACT,MVACT-184,1,1
225,MVACT,MVACT-185,2,2
226,POCSO,POCSO-4,1,1
227,BNS,BNS-309,1,1
228,BNS,BNS-316,1,1
228,BNS,BNS-303,2,2
228,BNS,BNS-305,3,3
229,IPC,IPC-363,1,1
230,KPACT,KPACT-110,1,1
231,MVACT,MVACT-185,1,1
231,MVACT,MVACT-177,2,2
232,MVACT,MVACT-134,1,1
233,BNS,BNS-318,1,1
233,BNS,BNS-303,2,2
234,IPC,IPC-406,1,1
234,IPC,IPC-379,2,2
235,IPC,IPC-302,1,1
236,IPC,IPC-392,1,1
236,IPC,IPC-395,2,2
237,IPC,IPC-379,1,1
238,ITACT,ITACT-67,1,1
238,ITACT,ITACT-66,2,2
239,IPC,IPC-392,1,1
240,IPC,IPC-392,1,1
241,ARMS,ARMS-30,1,1
241,ARMS,ARMS-27,2,2
242,MVACT,MVACT-184,1,1
242,MVACT,MVACT-177,2,2
242,MVACT,MVACT-185,3,3
243,BNS,BNS-303,1,1
243,BNS,BNS-316,2,2
244,BNS,BNS-74,1,1
244,BNS,BNS-351,2,2
245,BNS,BNS-305,1,1
245,BNS,BNS-310,2,2
245,BNS,BNS-318,3,3
246,JJACT,JJACT-82,1,1
246,POCSO,POCSO-10,2,2
246,POCSO,POCSO-12,3,3
247,MVACT,MVACT-184,1,1
247,MVACT,MVACT-185,2,2
248,MVACT,MVACT-134,1,1
248,MVACT,MVACT-185,2,2
248,MVACT,MVACT-177,3,3
249,MVACT,MVACT-177,1,1
249,MVACT,MVACT-134,2,2
250,MVACT,MVACT-177,1,1
251,NDPS,NDPS-21,1,1
251,NDPS,NDPS-29,2,2
252,MVACT,MVACT-185,1,1
253,BNS,BNS-137,1,1
253,BNS,BNS-105,2,2
254,BNS,BNS-318,1,1
255,IPC,IPC-392,1,1
256,IPC,IPC-354,1,1
256,DOWRY,DOWRY-3,2,2
257,MVACT,MVACT-177,1,1
257,MVACT,MVACT-184,2,2
257,MVACT,MVACT-134,3,3
258,BNS,BNS-115,1,1
259,KPACT,KPACT-110,1,1
260,KPACT,KPACT-78,1,1
261,DOWRY,DOWRY-4,1,1
261,IPC,IPC-506,2,2
261,IPC,IPC-376,3,3
262,NDPS,NDPS-20,1,1
262,NDPS,NDPS-27,2,2
262,NDPS,NDPS-8,3,3
263,MVACT,MVACT-134,1,1
264,IPC,IPC-376,1,1
265,IPC,IPC-392,1,1
265,IPC,IPC-406,2,2
265,IPC,IPC-380,3,3
266,BNS,BNS-351,1,1
267,IPC,IPC-506,1,1
268,BNS,BNS-309,1,1
269,DOWRY,DOWRY-4,1,1
269,BNS,BNS-351,2,2
270,KPACT,KPACT-110,1,1
271,BNS,BNS-318,1,1
271,BNS,BNS-305,2,2
271,BNS,BNS-329,3,3
272,BNS,BNS-117,1,1
273,ITACT,ITACT-66D,1,1
273,ITACT,ITACT-66C,2,2
273,ITACT,ITACT-67,3,3
274,KPACT,KPACT-110,1,1
274,BNS,BNS-352,2,2
275,IPC,IPC-376,1,1
276,BNS,BNS-305,1,1
277,MVACT,MVACT-185,1,1
278,IPC,IPC-354,1,1
278,DOWRY,DOWRY-4,2,2
278,DOWRY,DOWRY-3,3,3
279,MVACT,MVACT-134,1,1
280,KEXACT,KEXACT-32,1,1
281,IPC,IPC-504,1,1
282,BNS,BNS-303,1,1
283,IPC,IPC-380,1,1
283,IPC,IPC-406,2,2
283,IPC,IPC-447,3,3
284,MVACT,MVACT-177,1,1
284,MVACT,MVACT-185,2,2
285,ITACT,ITACT-66C,1,1
286,MVACT,MVACT-134,1,1
287,BNS,BNS-329,1,1
287,BNS,BNS-303,2,2
288,IPC,IPC-506,1,1
288,DOWRY,DOWRY-3,2,2
289,BNS,BNS-64,1,1
289,BNS,BNS-351,2,2
290,BNS,BNS-309,1,1
291,ITACT,ITACT-66C,1,1
292,IPC,IPC-420,1,1
293,IPC,IPC-406,1,1
293,IPC,IPC-392,2,2
294,NDPS,NDPS-29,1,1
295,IPC,IPC-380,1,1
295,IPC,IPC-395,2,2
296,NDPS,NDPS-27,1,1
296,NDPS,NDPS-8,2,2
297,IPC,IPC-392,1,1
298,BNS,BNS-115,1,1
299,MVACT,MVACT-134,1,1
300,NDPS,NDPS-22,1,1
300,NDPS,NDPS-21,2,2
301,IPC,IPC-379,1,1
301,IPC,IPC-447,2,2
302,IPC,IPC-420,1,1
303,BNS,BNS-318,1,1
303,BNS,BNS-309,2,2
304,IPC,IPC-447,1,1
305,BNS,BNS-309,1,1
305,BNS,BNS-305,2,2
306,NDPS,NDPS-29,1,1
307,NDPS,NDPS-21,1,1
307,NDPS,NDPS-8,2,2
308,IPC,IPC-506,1,1
309,KPACT,KPACT-78,1,1
309,ARMS,ARMS-25,2,2
310,BNS,BNS-85,1,1
311,IPC,IPC-380,1,1
312,NDPS,NDPS-29,1,1
313,IPC,IPC-304,1,1
313,IPC,IPC-302,2,2
313,IPC,IPC-307,3,3
314,IPC,IPC-379,1,1
314,IPC,IPC-392,2,2
315,DOWRY,DOWRY-3,1,1
315,IPC,IPC-506,2,2
316,MVACT,MVACT-177,1,1
316,MVACT,MVACT-185,2,2
317,NDPS,NDPS-27,1,1
318,MVACT,MVACT-185,1,1
318,MVACT,MVACT-184,2,2
319,BNS,BNS-85,1,1
319,BNS,BNS-74,2,2
320,MVACT,MVACT-184,1,1
321,PMLA,PMLA-3,1,1
322,IPC,IPC-406,1,1
323,BNS,BNS-329,1,1
323,BNS,BNS-310,2,2
324,ITACT,ITACT-66D,1,1
325,IPC,IPC-379,1,1
325,IPC,IPC-392,2,2
326,IPC,IPC-420,1,1
327,NDPS,NDPS-21,1,1
328,MVACT,MVACT-185,1,1
329,IPC,IPC-506,1,1
330,IPC,IPC-380,1,1
331,DOWRY,DOWRY-3,1,1
332,IPC,IPC-506,1,1
333,IPC,IPC-498A,1,1
334,IPC,IPC-392,1,1
334,IPC,IPC-420,2,2
335,ITACT,ITACT-67,1,1
336,KPACT,KPACT-78,1,1
337,BNS,BNS-316,1,1
338,IPC,IPC-506,1,1
338,IPC,IPC-504,2,2
338,KPACT,KPACT-110,3,3
339,BNS,BNS-140,1,1
339,BNS,BNS-115,2,2
339,BNS,BNS-103,3,3
340,MVACT,MVACT-184,1,1
340,MVACT,MVACT-177,2,2
340,MVACT,MVACT-185,3,3
341,BNS,BNS-329,1,1
341,BNS,BNS-303,2,2
342,IPC,IPC-506,1,1
343,IPC,IPC-376,1,1
343,DOWRY,DOWRY-4,2,2
343,IPC,IPC-506,3,3
344,IPC,IPC-498A,1,1
344,IPC,IPC-376,2,2
345,ITACT,ITACT-66D,1,1
346,BNS,BNS-74,1,1
347,DOWRY,DOWRY-4,1,1
348,MVACT,MVACT-185,1,1
349,IPC,IPC-304,1,1
349,IPC,IPC-302,2,2
350,MVACT,MVACT-184,1,1
350,MVACT,MVACT-177,2,2
351,NDPS,NDPS-8,1,1
352,IPC,IPC-380,1,1
353,BNS,BNS-305,1,1
354,MVACT,MVACT-134,1,1
354,MVACT,MVACT-177,2,2
355,IPC,IPC-323,1,1
356,IPC,IPC-498A,1,1
357,IPC,IPC-447,1,1
358,KPACT,KPACT-78,1,1
358,ARMS,ARMS-30,2,2
358,KPACT,KPACT-110,3,3
359,MVACT,MVACT-177,1,1
360,IPC,IPC-395,1,1
361,IPC,IPC-392,1,1
361,IPC,IPC-420,2,2
361,IPC,IPC-406,3,3
362,POCSO,POCSO-4,1,1
362,POCSO,POCSO-10,2,2
363,ARMS,ARMS-27,1,1
363,KEXACT,KEXACT-32,2,2
363,KEXACT,KEXACT-34,3,3
364,NDPS,NDPS-22,1,1
364,NDPS,NDPS-27,2,2
364,NDPS,NDPS-21,3,3
365,NDPS,NDPS-8,1,1
365,NDPS,NDPS-20,2,2
366,IPC,IPC-447,1,1
366,IPC,IPC-395,2,2
366,IPC,IPC-392,3,3
367,MVACT,MVACT-185,1,1
368,DOWRY,DOWRY-3,1,1
368,IPC,IPC-376,2,2
369,IPC,IPC-447,1,1
370,MVACT,MVACT-177,1,1
371,KPACT,KPACT-110,1,1
371,ARMS,ARMS-30,2,2
371,KEXACT,KEXACT-34,3,3
372,POCSO,POCSO-12,1,1
372,POCSO,POCSO-8,2,2
373,BNS,BNS-303,1,1
374,JJACT,JJACT-82,1,1
375,MVACT,MVACT-185,1,1
376,IPC,IPC-420,1,1
376,PMLA,PMLA-4,2,2
377,BNS,BNS-109,1,1
378,NDPS,NDPS-27,1,1
378,NDPS,NDPS-8,2,2
379,DOWRY,DOWRY-4,1,1
379,IPC,IPC-506,2,2
379,IPC,IPC-354,3,3
380,BNS,BNS-316,1,1
380,BNS,BNS-329,2,2
380,BNS,BNS-318,3,3
381,ITACT,ITACT-66C,1,1
382,ITACT,ITACT-66,1,1
383,MVACT,MVACT-134,1,1
383,MVACT,MVACT-184,2,2
384,ARMS,ARMS-27,1,1
385,IPC,IPC-376,1,1
386,IPC,IPC-392,1,1
386,IPC,IPC-447,2,2
386,IPC,IPC-420,3,3
387,UAPA,UAPA-18,1,1
388,ITACT,ITACT-67,1,1
389,MVACT,MVACT-184,1,1
389,MVACT,MVACT-185,2,2
390,MVACT,MVACT-185,1,1
391,BNS,BNS-310,1,1
392,KPACT,KPACT-78,1,1
392,KEXACT,KEXACT-32,2,2
393,IPC,IPC-379,1,1
393,IPC,IPC-395,2,2
394,IPC,IPC-395,1,1
394,IPC,IPC-380,2,2
395,POCSO,POCSO-4,1,1
396,KPACT,KPACT-78,1,1
397,BNS,BNS-318,1,1
397,BNS,BNS-115,2,2
397,BNS,BNS-316,3,3
398,IPC,IPC-506,1,1
399,UAPA,UAPA-18,1,1
399,UAPA,UAPA-16,2,2
399,UAPA,UAPA-13,3,3
400,MVACT,MVACT-184,1,1
400,MVACT,MVACT-185,2,2
401,BNS,BNS-310,1,1
402,IPC,IPC-392,1,1
402,IPC,IPC-447,2,2
403,UAPA,UAPA-18,1,1
403,UAPA,UAPA-16,2,2
403,UAPA,UAPA-13,3,3
404,NDPS,NDPS-22,1,1
405,ITACT,ITACT-66C,1,1
406,ITACT,ITACT-66C,1,1
406,ITACT,ITACT-66D,2,2
407,MVACT,MVACT-185,1,1
407,MVACT,MVACT-184,2,2
408,IPC,IPC-379,1,1
409,DOWRY,DOWRY-3,1,1
409,IPC,IPC-354,2,2
410,KEXACT,KEXACT-32,1,1
411,MVACT,MVACT-184,1,1
412,JJACT,JJACT-82,1,1
413,BNS,BNS-329,1,1
414,IPC,IPC-406,1,1
415,BNS,BNS-305,1,1
416,KPACT,KPACT-110,1,1
416,KPACT,KPACT-78,2,2
417,IPC,IPC-392,1,1
418,BNS,BNS-316,1,1
418,BNS,BNS-303,2,2
418,BNS,BNS-310,3,3
419,BNS,BNS-85,1,1
419,BNS,BNS-64,2,2
420,NDPS,NDPS-27,1,1
420,NDPS,NDPS-29,2,2
421,PCA,PCA-7,1,1
422,MVACT,MVACT-177,1,1
423,ITACT,ITACT-66,1,1
423,ITACT,ITACT-66D,2,2
424,BNS,BNS-117,1,1
425,BNS,BNS-85,1,1
426,ARMS,ARMS-30,1,1
426,KPACT,KPACT-78,2,2
427,MVACT,MVACT-177,1,1
428,POCSO,POCSO-8,1,1
429,ARMS,ARMS-30,1,1
429,KEXACT,KEXACT-34,2,2
430,POCSO,POCSO-6,1,1
430,POCSO,POCSO-12,2,2
431,DOWRY,DOWRY-4,1,1
431,BNS,BNS-64,2,2
431,BNS,BNS-74,3,3
432,MVACT,MVACT-185,1,1
432,MVACT,MVACT-184,2,2
433,POCSO,POCSO-10,1,1
434,JJACT,JJACT-75,1,1
434,POCSO,POCSO-8,2,2
435,BNS,BNS-85,1,1
436,IPC,IPC-406,1,1
437,BNS,BNS-318,1,1
438,NDPS,NDPS-27,1,1
439,IPC,IPC-325,1,1
440,BNS,BNS-309,1,1
441,JJACT,JJACT-75,1,1
442,IPC,IPC-447,1,1
442,IPC,IPC-392,2,2
442,IPC,IPC-406,3,3
443,KPACT,KPACT-110,1,1
444,ITACT,ITACT-66D,1,1
445,NDPS,NDPS-27,1,1
446,BNS,BNS-305,1,1
447,BNS,BNS-316,1,1
448,PCA,PCA-13,1,1
448,BNS,BNS-316,2,2
449,BNS,BNS-329,1,1
450,NDPS,NDPS-29,1,1
450,NDPS,NDPS-20,2,2
450,NDPS,NDPS-21,3,3
451,JJACT,JJACT-82,1,1
451,JJACT,JJACT-75,2,2
452,PMLA,PMLA-3,1,1
452,PMLA,PMLA-4,2,2
452,IPC,IPC-406,3,3
453,PCA,PCA-13,1,1
454,IPC,IPC-380,1,1
455,IPC,IPC-323,1,1
456,MVACT,MVACT-185,1,1
456,MVACT,MVACT-134,2,2
457,BNS,BNS-85,1,1
458,POCSO,POCSO-8,1,1
459,NDPS,NDPS-8,1,1
460,NDPS,NDPS-20,1,1
460,NDPS,NDPS-22,2,2
461,ARMS,ARMS-30,1,1
461,KEXACT,KEXACT-32,2,2
461,ARMS,ARMS-27,3,3
462,MVACT,MVACT-134,1,1
463,IPC,IPC-406,1,1
463,IPC,IPC-420,2,2
464,MVACT,MVACT-134,1,1
464,MVACT,MVACT-185,2,2
465,IPC,IPC-323,1,1
466,BNS,BNS-316,1,1
466,BNS,BNS-309,2,2
466,BNS,BNS-329,3,3
467,IPC,IPC-395,1,1
468,IPC,IPC-307,1,1
468,IPC,IPC-302,2,2
468,IPC,IPC-366,3,3
469,IPC,IPC-323,1,1
469,IPC,IPC-363,2,2
470,IPC,IPC-307,1,1
471,IPC,IPC-504,1,1
471,IPC,IPC-506,2,2
472,NDPS,NDPS-20,1,1
472,NDPS,NDPS-8,2,2
472,NDPS,NDPS-22,3,3
473,BNS,BNS-316,1,1
474,IPC,IPC-406,1,1
474,IPC,IPC-323,2,2
474,IPC,IPC-420,3,3
475,MVACT,MVACT-134,1,1
476,MVACT,MVACT-184,1,1
476,MVACT,MVACT-177,2,2
476,MVACT,MVACT-185,3,3
477,MVACT,MVACT-134,1,1
477,MVACT,MVACT-177,2,2
477,MVACT,MVACT-184,3,3
478,MVACT,MVACT-134,1,1
479,IPC,IPC-354,1,1
479,DOWRY,DOWRY-4,2,2
480,BNS,BNS-64,1,1
481,MVACT,MVACT-134,1,1
482,KPACT,KPACT-110,1,1
483,IPC,IPC-379,1,1
483,IPC,IPC-392,2,2
484,NDPS,NDPS-22,1,1
485,MVACT,MVACT-134,1,1
485,MVACT,MVACT-184,2,2
485,MVACT,MVACT-185,3,3
486,MVACT,MVACT-185,1,1
486,MVACT,MVACT-184,2,2
487,BNS,BNS-351,1,1
488,IPC,IPC-307,1,1
488,IPC,IPC-366,2,2
488,IPC,IPC-323,3,3
489,MVACT,MVACT-134,1,1
490,BNS,BNS-64,1,1
490,BNS,BNS-85,2,2
490,BNS,BNS-74,3,3
491,PCA,PCA-7,1,1
492,MVACT,MVACT-184,1,1
492,MVACT,MVACT-134,2,2
492,MVACT,MVACT-177,3,3
493,BNS,BNS-305,1,1
494,BNS,BNS-115,1,1
495,BNS,BNS-309,1,1
495,BNS,BNS-318,2,2
496,IPC,IPC-392,1,1
496,IPC,IPC-395,2,2
497,MVACT,MVACT-185,1,1
497,MVACT,MVACT-134,2,2
498,BNS,BNS-351,1,1
498,KPACT,KPACT-110,2,2
499,MVACT,MVACT-185,1,1
500,IPC,IPC-379,1,1
500,IPC,IPC-420,2,2
500,IPC,IPC-380,3,3
501,BNS,BNS-318,1,1
502,IPC,IPC-504,1,1
503,MVACT,MVACT-177,1,1
503,MVACT,MVACT-134,2,2
504,UAPA,UAPA-13,1,1
505,IPC,IPC-323,1,1
505,IPC,IPC-406,2,2
506,MVACT,MVACT-185,1,1
