CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
14,800110101202200001,202200001,2022-05-04,930,101,8,1,1,1,7,41,2022-05-03 14:10:00,2022-05-03 14:49:00,2022-05-04 21:26:36,12.791762,74.977611,The complainant reported an act of murder occurring in the evening in the area covered by Dakshina Kannada CEN Crime Police Station. Investigation is in progress to identify those responsible.
15,100170117202500001,202500001,2025-09-28,1054,117,1,3,3,20,6,65,2025-09-28 03:13:27,2025-09-28 03:34:27,2025-09-28 15:29:59,17.127735,76.689146,"On the date of occurrence, during the day, an incident of domestic violence was reported within the jurisdiction of Kalaburagi CEN Crime Police Station. Preliminary inquiry has been initiated."
16,100110096202600001,202600001,2026-05-31,888,96,1,2,3,19,1,44,2026-05-29 11:29:26,2026-05-29 11:48:26,2026-05-31 10:05:35,12.698802,74.847279,Information was received regarding sexual harassment during the day in the limits of Mangaluru East Police Station. The case has been taken up for detailed inquiry.
17,100110099202400001,202400001,2024-10-06,920,99,1,1,2,11,3,40,2024-09-26 06:20:22,2024-09-26 06:36:22,2024-10-06 16:23:35,12.841263,74.651384,"On the date of occurrence, in the evening, an incident of dacoity was reported within the jurisdiction of Dakshina Kannada Traffic Police Station. Preliminary inquiry has been initiated."
18,100250143202300001,202300001,2023-07-24,1250,143,1,4,6,32,2,94,2023-07-22 21:10:50,2023-07-22 21:35:50,2023-07-24 15:08:15,13.803261,75.638059,"A case of affray came to notice during the day, and the matter was registered at Shivamogga Rural Police Station for further investigation as per procedure."
19,100110097202300001,202300001,2023-07-26,903,97,1,2,2,10,9,41,2023-07-25 07:05:41,2023-07-25 07:07:41,2023-07-26 20:27:40,13.059483,74.680652,"A case of robbery came to notice late at night, and the matter was registered at Mangaluru West Police Station for further investigation as per procedure."
20,100050084202400001,202400001,2024-11-23,790,84,1,3,10,49,10,121,2024-11-23 13:17:25,2024-11-24 17:55:28,2024-11-23 15:59:36,13.167967,77.610724,The complainant reported an act of possession of narcotic substance occurring in the evening in the area covered by Bengaluru City Women Police Station. Investigation is in progress to identify those responsible.
21,100220086202200001,202200001,2022-02-13,808,86,1,3,2,12,10,83,2022-02-11 11:29:32,2022-02-11 12:03:32,2022-02-13 06:04:40,12.25244,76.535044,"A case of criminal breach of trust came to notice in the early morning, and the matter was registered at Devaraja Police Station for further investigation as per procedure."
22,100170110202400001,202400001,2024-11-21,1004,110,1,2,2,8,2,65,2024-11-20 02:16:30,2024-11-20 02:40:30,2024-11-21 19:06:34,17.173462,76.680845,"A case of theft came to notice in the evening, and the matter was registered at Kalaburagi Market Police Station for further investigation as per procedure."
23,100030105202500001,202500001,2025-09-15,964,105,1,3,6,31,3,11,2025-09-15 07:31:03,2025-09-15 07:51:03,2025-09-15 16:32:05,15.924734,74.683043,Information was received regarding unlawful assembly in the evening in the limits of Tilakwadi Police Station. The case has been taken up for detailed inquiry.
24,100110101202300001,202300001,2023-11-30,932,101,1,3,2,14,6,42,2023-11-29 00:28:50,2023-11-29 00:49:50,2023-11-30 11:18:50,12.772644,75.003202,Information was received regarding mischief / criminal damage during the day in the limits of Dakshina Kannada CEN Crime Police Station. The case has been taken up for detailed inquiry.
25,100110094202200001,202200001,2022-12-18,871,94,1,4,6,32,2,41,2022-12-16 13:51:00,2022-12-16 14:22:00,2022-12-17 23:47:25,13.143596,75.02705,The complainant reported an act of affray occurring late at night in the area covered by Mangaluru North Police Station. Investigation is in progress to identify those responsible.
26,200030102202600001,202600001,2026-06-06,934,102,2,2,9,43,2,11,2026-06-04 09:47:33,2026-06-04 10:17:33,2026-06-05 22:51:35,15.674214,74.372221,"On the date of occurrence, late at night, an incident of online financial fraud was reported within the jurisdiction of Belagavi Camp Police Station. Preliminary inquiry has been initiated."
27,100130123202100001,202100001,2021-03-15,1106,123,1,3,12,61,6,49,2021-03-15 08:48:52,2021-03-15 09:02:52,2021-03-15 14:19:39,15.439107,74.9421,"A case of arms act violation came to notice during the day, and the matter was registered at Dharwad Traffic Police Station for further investigation as per procedure."
28,100050080202500001,202500001,2025-08-04,762,80,1,3,3,19,1,20,2025-08-03 09:02:06,2025-08-03 09:32:06,2025-08-03 23:12:26,13.137828,77.539934,"A case of sexual harassment came to notice late at night, and the matter was registered at Malleshwaram Police Station for further investigation as per procedure."
29,100050075202400001,202400001,2024-05-27,707,75,1,2,5,27,2,20,2024-05-26 03:21:49,2024-05-26 04:02:49,2024-05-27 11:23:23,13.071176,77.484274,"A case of elder abuse came to notice during the day, and the matter was registered at Jayanagar Police Station for further investigation as per procedure."
30,100190191202600001,202600001,2026-05-11,1618,191,1,2,8,42,2,73,2026-05-09 17:04:30,2026-05-09 17:37:30,2026-05-11 13:07:42,13.174428,77.984558,The complainant reported an act of chit fund fraud occurring during the day in the area covered by Kolar Rural Police Station. Investigation is in progress to identify those responsible.
31,100050075202400002,202400002,2024-07-17,703,75,1,1,2,11,7,21,2024-07-16 12:59:15,2024-07-16 13:08:15,2024-07-17 15:56:08,13.05416,77.474489,The complainant reported an act of dacoity occurring in the evening in the area covered by Jayanagar Police Station. Investigation is in progress to identify those responsible.
32,100050084202400002,202400002,2024-10-28,790,84,1,4,11,58,2,21,2024-10-27 23:40:06,2024-10-27 23:49:06,2024-10-28 06:49:44,13.159428,77.596441,"On the date of occurrence, during the day, an incident of traffic signal violation was reported within the jurisdiction of Bengaluru City Women Police Station. Preliminary inquiry has been initiated."
33,100110096202300001,202300001,2023-10-05,890,96,1,3,6,30,3,41,2023-10-05 00:09:06,2023-10-05 00:41:06,2023-10-05 01:06:00,12.707901,74.840619,Information was received regarding rioting late at night in the limits of Mangaluru East Police Station. The case has been taken up for detailed inquiry.
34,100220089202200001,202200001,2022-12-07,836,89,1,3,11,54,1,84,2022-12-05 17:34:36,2022-12-05 18:09:36,2022-12-07 11:52:46,12.25463,76.818318,The complainant reported an act of drunken driving occurring during the day in the area covered by Krishnaraja Police Station. Investigation is in progress to identify those responsible.
35,500260129202300001,202300001,2023-09-23,1153,129,5,2,2,8,1,99,2023-09-22 15:00:28,2023-09-24 20:29:11,2023-09-23 19:46:12,13.463097,76.933426,"A case of theft came to notice in the evening, and the matter was registered at Tiptur Police Station for further investigation as per procedure."
36,100250143202100001,202100001,2021-03-08,1249,143,1,3,5,27,2,95,2021-03-06 13:03:28,2021-03-06 13:08:28,2021-03-08 09:31:24,13.780153,75.643665,"On the date of occurrence, during the day, an incident of elder abuse was reported within the jurisdiction of Shivamogga Rural Police Station. Preliminary inquiry has been initiated."
37,100020137202400001,202400001,2024-01-30,1206,137,1,3,2,8,8,4,2024-01-30 17:15:00,2024-01-31 00:46:19,2024-01-30 21:25:51,15.045081,76.998057,"On the date of occurrence, late at night, an incident of theft was reported within the jurisdiction of Ballari Women Police Station. Preliminary inquiry has been initiated."
38,100260129202400001,202400001,2024-10-28,1155,129,1,2,1,5,8,98,2024-10-27 15:33:02,2024-10-27 16:05:02,2024-10-28 09:25:09,13.436426,76.939341,The complainant reported an act of simple hurt occurring during the day in the area covered by Tiptur Police Station. Investigation is in progress to identify those responsible.
39,200030104202400001,202400001,2024-06-17,960,104,2,2,11,57,8,11,2024-06-15 14:06:13,2024-06-15 14:43:13,2024-06-17 07:27:29,15.951111,74.452654,The complainant reported an act of non-fatal motor vehicle accident occurring in the early morning in the area covered by Shahapur Police Station. Investigation is in progress to identify those responsible.
40,300040177202500001,202500001,2025-08-18,1496,177,3,2,2,10,6,16,2025-08-18 10:23:53,2025-08-18 10:33:53,2025-08-18 10:37:06,13.168818,77.594702,"A case of robbery came to notice during the day, and the matter was registered at Hoskote Police Station for further investigation as per procedure."
41,800220086202500001,202500001,2025-09-23,809,86,8,3,11,54,1,84,2025-09-21 05:26:51,2025-09-21 05:38:51,2025-09-23 00:36:56,12.244955,76.526749,"A case of drunken driving came to notice late at night, and the matter was registered at Devaraja Police Station for further investigation as per procedure."
42,100050080202200001,202200001,2022-04-21,762,80,1,3,9,45,8,21,2022-04-19 10:08:46,2022-04-19 10:42:46,2022-04-21 00:00:59,13.15011,77.55103,"On the date of occurrence, late at night, an incident of unauthorized system access / hacking was reported within the jurisdiction of Malleshwaram Police Station. Preliminary inquiry has been initiated."
43,100220092202400001,202400001,2024-06-20,857,92,1,2,1,4,8,83,2024-06-18 05:57:34,2024-06-18 06:38:34,2024-06-20 04:27:15,12.478636,76.490624,"On the date of occurrence, in the early morning, an incident of grievous hurt was reported within the jurisdiction of Mysuru Women Police Station. Preliminary inquiry has been initiated."
44,100260129202500001,202500001,2025-10-27,1150,129,1,2,2,12,7,97,2025-10-14 09:59:05,2025-10-14 10:30:05,2025-10-27 13:14:44,13.435027,76.94015,"A case of criminal breach of trust came to notice during the day, and the matter was registered at Tiptur Police Station for further investigation as per procedure."
45,100050079202400001,202400001,2024-04-13,754,79,1,3,9,43,6,21,2024-04-11 08:39:00,2024-04-11 09:00:00,2024-04-13 06:35:38,13.017865,77.454321,The complainant reported an act of online financial fraud occurring in the early morning in the area covered by Banashankari Police Station. Investigation is in progress to identify those responsible.
46,100130123202400001,202400001,2024-07-22,1106,123,1,3,11,54,2,51,2024-07-22 16:25:55,2024-07-22 17:05:55,2024-07-22 20:59:33,15.450205,74.925327,"On the date of occurrence, late at night, an incident of drunken driving was reported within the jurisdiction of Dharwad Traffic Police Station. Preliminary inquiry has been initiated."
47,200220092202100001,202100001,2021-06-09,858,92,2,2,2,14,3,83,2021-06-07 21:32:39,2021-06-07 21:38:39,2021-06-09 12:13:28,12.473183,76.487749,"A case of mischief / criminal damage came to notice during the day, and the matter was registered at Mysuru Women Police Station for further investigation as per procedure."
48,100260128202200001,202200001,2022-09-11,1135,128,1,2,11,56,2,98,2022-09-10 08:31:35,2022-09-10 08:55:35,2022-09-11 07:24:41,13.225717,77.051661,Information was received regarding fatal motor vehicle accident during the day in the limits of Sira Police Station. The case has been taken up for detailed inquiry.
49,100220092202500001,202500001,2025-10-10,856,92,1,3,6,30,3,84,2025-10-09 00:30:30,2025-10-09 00:56:30,2025-10-10 02:31:24,12.49776,76.488463,"A case of rioting came to notice late at night, and the matter was registered at Mysuru Women Police Station for further investigation as per procedure."
50,500020134202400001,202400001,2024-11-12,1183,134,5,3,11,57,3,6,2024-11-11 21:18:42,2024-11-11 21:19:42,2024-11-12 13:57:39,15.329173,76.821819,Information was received regarding non-fatal motor vehicle accident during the day in the limits of Ballari Town Police Station. The case has been taken up for detailed inquiry.
51,100030105202400001,202400001,2024-06-18,969,105,1,2,11,56,1,12,2024-06-17 22:12:48,2024-06-17 22:31:48,2024-06-18 09:29:38,15.939149,74.686006,"A case of fatal motor vehicle accident came to notice during the day, and the matter was registered at Tilakwadi Police Station for further investigation as per procedure."
52,100130123202100002,202100002,2021-02-27,1106,123,1,2,4,25,6,54,2021-02-26 08:33:01,2021-02-26 08:39:01,2021-02-27 04:35:51,15.437813,74.912743,The complainant reported an act of missing child occurring in the early morning in the area covered by Dharwad Traffic Police Station. Investigation is in progress to identify those responsible.
53,100050080202500002,202500002,2025-01-16,760,80,1,3,9,46,6,20,2025-01-15 13:11:58,2025-01-15 13:45:58,2025-01-15 23:14:30,13.148549,77.544915,The complainant reported an act of social media impersonation occurring late at night in the area covered by Malleshwaram Police Station. Investigation is in progress to identify those responsible.
54,100050073202500001,202500001,2025-04-26,688,73,1,3,2,12,2,21,2025-04-25 00:57:21,2025-04-26 08:16:03,2025-04-26 11:13:06,12.936282,77.454943,The complainant reported an act of criminal breach of trust occurring during the day in the area covered by Indiranagar Police Station. Investigation is in progress to identify those responsible.
55,400170110202400001,202400001,2024-07-10,998,110,4,3,2,12,3,66,2024-07-09 20:37:22,2024-07-09 20:53:22,2024-07-10 12:28:54,17.198925,76.702935,"On the date of occurrence, during the day, an incident of criminal breach of trust was reported within the jurisdiction of Kalaburagi Market Police Station. Preliminary inquiry has been initiated."
56,100230165202500001,202500001,2025-10-31,1414,165,1,3,8,40,8,90,2025-10-31 02:14:31,2025-10-31 02:41:31,2025-10-31 17:13:42,16.152751,77.205191,Information was received regarding forgery in the evening in the limits of Raichur Women Police Station. The case has been taken up for detailed inquiry.
57,400110097202500001,202500001,2025-10-26,900,97,4,2,11,56,7,42,2025-10-26 10:03:29,2025-10-26 10:24:29,2025-10-26 13:48:01,13.054014,74.681819,"A case of fatal motor vehicle accident came to notice during the day, and the matter was registered at Mangaluru West Police Station for further investigation as per procedure."
58,100050073202200001,202200001,2022-01-12,688,73,1,2,2,8,9,19,2022-01-10 00:38:56,2022-01-10 00:42:56,2022-01-11 22:03:40,12.94285,77.449029,"On the date of occurrence, late at night, an incident of theft was reported within the jurisdiction of Indiranagar Police Station. Preliminary inquiry has been initiated."
59,100050084202500001,202500001,2025-10-28,790,84,1,4,12,63,2,19,2025-10-28 02:16:13,2025-10-28 02:56:13,2025-10-28 07:09:59,13.174365,77.617627,"On the date of occurrence, during the day, an incident of anti-ragging violation was reported within the jurisdiction of Bengaluru City Women Police Station. Preliminary inquiry has been initiated."
60,100050078202500001,202500001,2025-06-21,739,78,1,3,12,62,6,20,2025-06-20 06:39:27,2025-06-20 07:18:27,2025-06-21 04:12:00,12.968829,77.566915,"A case of karnataka police act violation came to notice late at night, and the matter was registered at Rajajinagar Police Station for further investigation as per procedure."
61,100050075202300001,202300001,2023-05-31,702,75,1,1,2,11,7,19,2023-05-29 21:05:58,2023-05-29 21:09:58,2023-05-30 21:09:17,13.088331,77.500259,The complainant reported an act of dacoity occurring late at night in the area covered by Jayanagar Police Station. Investigation is in progress to identify those responsible.
62,100220086202500001,202500001,2025-06-19,809,86,1,2,2,10,8,84,2025-06-18 08:52:13,2025-06-18 08:55:13,2025-06-19 20:49:23,12.237139,76.56116,"A case of robbery came to notice late at night, and the matter was registered at Devaraja Police Station for further investigation as per procedure."
63,100030105202200002,202200002,2022-06-29,967,105,1,2,11,55,7,12,2022-06-29 17:27:28,2022-06-29 17:31:28,2022-06-29 18:29:52,15.935708,74.678258,The complainant reported an act of hit and run occurring in the evening in the area covered by Tilakwadi Police Station. Investigation is in progress to identify those responsible.
64,100130122202100001,202100001,2021-05-01,1100,122,1,3,11,53,2,49,2021-04-30 10:06:42,2021-04-30 10:51:42,2021-05-01 16:27:53,15.569236,74.957776,Information was received regarding rash & negligent driving in the evening in the limits of Navanagar Police Station. The case has been taken up for detailed inquiry.
65,200050077202200001,202200001,2022-12-18,730,77,2,3,9,45,9,19,2022-12-16 23:45:19,2022-12-16 23:48:19,2022-12-18 17:49:22,12.977538,77.77962,Information was received regarding unauthorized system access / hacking in the evening in the limits of Yeshwanthpur Police Station. The case has been taken up for detailed inquiry.
66,100110101202600001,202600001,2026-03-04,930,101,1,3,10,51,2,42,2026-02-28 06:34:19,2026-02-28 07:04:19,2026-03-04 05:58:14,12.794533,75.005255,The complainant reported an act of cultivation of narcotic plants occurring in the early morning in the area covered by Dakshina Kannada CEN Crime Police Station. Investigation is in progress to identify those responsible.
67,100020137202200001,202200001,2022-10-10,1206,137,1,2,10,51,7,5,2022-10-09 08:41:36,2022-10-09 09:17:36,2022-10-10 10:52:27,15.052627,76.997363,"A case of cultivation of narcotic plants came to notice during the day, and the matter was registered at Ballari Women Police Station for further investigation as per procedure."
68,200190191202500001,202500001,2025-10-18,1618,191,2,2,2,14,2,75,2025-10-16 06:14:09,2025-10-16 06:43:09,2025-10-18 00:58:12,13.172227,77.999585,"A case of mischief / criminal damage came to notice late at night, and the matter was registered at Kolar Rural Police Station for further investigation as per procedure."
69,200260126202500001,202500001,2025-10-11,1124,126,2,3,9,45,6,97,2025-10-11 09:24:14,2025-10-11 10:09:14,2025-10-11 22:37:04,13.428757,76.992632,"A case of unauthorized system access / hacking came to notice late at night, and the matter was registered at Tumakuru City Police Station for further investigation as per procedure."
70,100020136202200001,202200001,2022-09-01,1199,136,1,3,11,54,6,5,2022-09-01 07:12:55,2022-09-01 07:17:55,2022-09-01 13:11:30,15.195211,76.984895,"On the date of occurrence, during the day, an incident of drunken driving was reported within the jurisdiction of Sandur Police Station. Preliminary inquiry has been initiated."
71,100260129202500002,202500002,2025-12-02,1144,129,1,1,1,1,7,97,2025-12-02 15:08:58,2025-12-02 15:11:58,2025-12-02 19:30:40,13.448779,76.916437,Information was received regarding murder in the evening in the limits of Tiptur Police Station. The case has been taken up for detailed inquiry.
72,500220089202300001,202300001,2023-03-10,838,89,5,2,2,10,9,82,2023-03-09 16:22:48,2023-03-09 17:44:11,2023-03-10 03:42:06,12.279379,76.824399,"On the date of occurrence, late at night, an incident of robbery was reported within the jurisdiction of Krishnaraja Police Station. Preliminary inquiry has been initiated."
73,200050076202200001,202200001,2022-12-10,713,76,2,3,2,13,8,20,2022-12-09 20:50:44,2022-12-09 20:52:44,2022-12-10 05:04:12,12.925179,77.671504,Information was received regarding cheating (property) in the early morning in the limits of Whitefield Police Station. The case has been taken up for detailed inquiry.
74,100050076202500001,202500001,2025-11-15,723,76,1,2,10,50,8,121,2025-11-13 22:19:05,2025-11-16 13:36:41,2025-11-15 14:13:55,12.921555,77.67973,The complainant reported an act of drug trafficking occurring during the day in the area covered by Whitefield Police Station. Investigation is in progress to identify those responsible.
75,100240195202400001,202400001,2024-02-18,1654,195,1,3,9,43,1,91,2024-02-17 04:32:57,2024-02-17 04:53:57,2024-02-18 01:48:52,12.818993,77.450166,"On the date of occurrence, late at night, an incident of online financial fraud was reported within the jurisdiction of Channapatna Police Station. Preliminary inquiry has been initiated."
76,100030102202500001,202500001,2025-02-16,937,102,1,4,12,60,8,10,2025-02-15 03:03:16,2025-02-15 03:11:16,2025-02-16 12:42:53,15.672761,74.387984,The complainant reported an act of gambling act violation occurring during the day in the area covered by Belagavi Camp Police Station. Investigation is in progress to identify those responsible.
77,100110098202600001,202600001,2026-04-26,911,98,1,3,2,13,3,40,2026-04-03 11:02:39,2026-04-03 11:10:39,2026-04-26 01:33:51,12.880023,74.667015,The complainant reported an act of cheating (property) occurring late at night in the area covered by Bantwal Rural Police Station. Investigation is in progress to identify those responsible.
78,100050074202200001,202200001,2022-04-15,697,74,1,1,2,11,9,21,2022-04-13 06:25:26,2022-04-13 07:00:26,2022-04-15 03:49:23,12.836384,77.484332,"On the date of occurrence, in the early morning, an incident of dacoity was reported within the jurisdiction of Koramangala Police Station. Preliminary inquiry has been initiated."
79,100030105202200003,202200003,2022-10-05,965,105,1,3,6,30,8,10,2022-10-04 06:56:32,2022-10-04 06:58:32,2022-10-04 23:12:47,15.930136,74.683084,Information was received regarding rioting late at night in the limits of Tilakwadi Police Station. The case has been taken up for detailed inquiry.
80,100130120202400001,202400001,2024-05-02,1082,120,1,3,2,9,7,50,2024-05-01 23:40:17,2024-05-02 00:00:17,2024-05-02 21:51:34,15.409994,74.830279,"A case of house-breaking / burglary came to notice late at night, and the matter was registered at Dharwad Rural Police Station for further investigation as per procedure."
81,200050083202300001,202300001,2023-11-24,788,83,2,2,10,49,2,121,2023-11-23 08:50:42,2023-11-24 09:53:53,2023-11-24 13:31:46,13.149017,77.528967,Information was received regarding possession of narcotic substance during the day in the limits of Bengaluru City Traffic Police Station. The case has been taken up for detailed inquiry.
82,500190191202300001,202300001,2023-03-13,1618,191,5,1,1,1,6,74,2023-03-07 03:33:42,2023-03-07 03:43:42,2023-03-13 02:02:12,13.150085,78.011116,"On the date of occurrence, late at night, an incident of murder was reported within the jurisdiction of Kolar Rural Police Station. Preliminary inquiry has been initiated."
83,100110095202400001,202400001,2024-10-26,878,95,1,3,11,57,6,42,2024-10-26 06:01:30,2024-10-26 06:09:30,2024-10-26 16:26:33,12.989872,74.648717,The complainant reported an act of non-fatal motor vehicle accident occurring during the day in the area covered by Mangaluru South Police Station. Investigation is in progress to identify those responsible.
84,100270172202200001,202200001,2022-10-31,1465,172,1,3,10,52,7,103,2022-10-30 22:53:38,2022-10-30 23:11:38,2022-10-31 14:36:31,13.516196,74.695863,Information was received regarding drug peddling near educational institution in the evening in the limits of Kundapura Police Station. The case has been taken up for detailed inquiry.
85,100030103202400001,202400001,2024-03-26,946,103,1,3,11,53,10,11,2024-03-25 02:02:27,2024-03-25 02:27:27,2024-03-26 07:15:25,15.737267,74.446181,"A case of rash & negligent driving came to notice in the early morning, and the matter was registered at Belagavi Market Police Station for further investigation as per procedure."
86,100170113202100001,202100001,2021-06-11,1026,113,1,2,3,18,8,66,2021-06-10 18:37:16,2021-06-10 19:07:16,2021-06-11 11:18:44,17.473784,76.997232,Information was received regarding cruelty by husband/relatives during the day in the limits of Chittapur Police Station. The case has been taken up for detailed inquiry.
87,100110095202400002,202400002,2024-10-02,884,95,1,3,2,14,3,40,2024-10-01 12:48:54,2024-10-01 12:48:54,2024-10-02 05:27:11,12.977093,74.664349,Information was received regarding mischief / criminal damage in the early morning in the limits of Mangaluru South Police Station. The case has been taken up for detailed inquiry.
88,700110097202400001,202400001,2024-07-17,899,97,7,1,3,17,8,44,2024-06-27 07:22:57,2024-06-27 07:50:57,2024-07-17 03:18:42,13.046641,74.667663,Information was received regarding dowry death in the early morning in the limits of Mangaluru West Police Station. The case has been taken up for detailed inquiry.
89,100050080202400001,202400001,2024-08-16,762,80,1,2,1,7,2,20,2024-08-11 05:00:52,2024-08-11 05:27:52,2024-08-16 11:05:01,13.158698,77.552287,"A case of criminal assault came to notice during the day, and the matter was registered at Malleshwaram Police Station for further investigation as per procedure."
90,100110096202200001,202200001,2022-09-24,888,96,1,4,12,63,9,41,2022-09-22 07:26:08,2022-09-22 07:50:08,2022-09-24 03:08:54,12.708548,74.860787,"On the date of occurrence, late at night, an incident of anti-ragging violation was reported within the jurisdiction of Mangaluru East Police Station. Preliminary inquiry has been initiated."
91,300030103202300001,202300001,2023-03-10,944,103,3,3,5,28,3,11,2023-03-08 19:54:27,2023-03-08 20:32:27,2023-03-09 23:56:23,15.737984,74.459452,"A case of property fraud on senior citizen came to notice late at night, and the matter was registered at Belagavi Market Police Station for further investigation as per procedure."
92,200150149202400001,202400001,2024-10-07,1298,149,2,3,1,5,1,58,2024-10-06 21:04:58,2024-10-06 21:09:58,2024-10-07 04:08:08,12.990867,75.875924,"On the date of occurrence, in the early morning, an incident of simple hurt was reported within the jurisdiction of Hassan Women Police Station. Preliminary inquiry has been initiated."
93,200220087202100001,202100001,2021-09-29,816,87,2,4,6,33,7,84,2021-09-28 21:34:48,2021-09-28 21:44:48,2021-09-29 19:42:40,12.071217,76.516028,The complainant reported an act of public nuisance occurring in the evening in the area covered by Vijayanagar Police Station. Investigation is in progress to identify those responsible.
94,500030105202200001,202200001,2022-05-14,966,105,5,2,5,28,1,10,2022-05-13 07:46:00,2022-05-13 08:04:00,2022-05-14 00:00:27,15.960948,74.68877,Information was received regarding property fraud on senior citizen late at night in the limits of Tilakwadi Police Station. The case has been taken up for detailed inquiry.
95,100040177202200001,202200001,2022-10-30,1496,177,1,3,11,57,1,16,2022-10-29 21:07:36,2022-10-29 21:30:36,2022-10-30 06:44:20,13.189724,77.588537,"On the date of occurrence, during the day, an incident of non-fatal motor vehicle accident was reported within the jurisdiction of Hoskote Police Station. Preliminary inquiry has been initiated."
96,200170111202400001,202400001,2024-11-20,1009,111,2,2,11,56,8,65,2024-11-19 22:18:50,2024-11-19 22:22:50,2024-11-20 11:34:36,17.182732,76.712349,Information was received regarding fatal motor vehicle accident during the day in the limits of Kalaburagi Rural Police Station. The case has been taken up for detailed inquiry.
97,400110097202400001,202400001,2024-02-03,905,97,4,3,9,47,6,42,2024-02-02 06:22:47,2024-02-02 06:54:47,2024-02-03 06:08:02,13.063729,74.654251,"A case of otp / upi fraud came to notice during the day, and the matter was registered at Mangaluru West Police Station for further investigation as per procedure."
